1,10071000,Seed Corn
2,10079000,Non-seed Corn
3,12019011,"Non-seed, Non-GMO Soybeans"
4,12019019,"Non-seed, Other Yellow Soybeans"
5,2031110,Fresh or Chilled Whole or Half Carcass Pig
6,2031190,Other Fresh or Chilled Whole or Half Pig
7,2031200,"Fresh or Chilled Bone-in Front Leg, Hind Leg, and Other Pork Cuts"
8,2031900,Other Fresh or Chilled Pork
9,2032110,Frozen Whole or Half Carcass Pig
10,2032190,Other Frozen Whole or Half Pig
11,2032200,"Frozen Bone-in Front Leg, Hind Leg, and Other Pork Cuts"
12,2032900,Other Frozen Pork
13,2063000,Fresh or Chilled Pork Offal
14,2064100,Frozen Pork Liver
15,2064900,Other Frozen Pork Offal
16,2101110,"Dried, Smoked, or Salted Bone-in Pork Front Leg"
17,2101190,"Dried, Smoked, or Salted Bone-in Pork Hind Leg"
18,2101200,"Dried, Smoked, or Salted Pork Belly"
19,2101900,"Dried, Smoked, or Salted Other Pork Meat"
20,16024100,Processed or Preserved Pork Hind Leg and Cuts
21,16024200,Processed or Preserved Pork Front Leg and Cuts
22,16024910,Other Processed or Preserved Pork Meat or Offal – Pig Heads
23,16024990,"Other Processed or Preserved Pork Meat, Miscellaneous Cuts, and Blood"
24,2011000,Fresh or Chilled Whole or Half Carcass Beef
25,2012000,Fresh or Chilled Bone-in Beef
26,2013000,Fresh or Chilled Boneless Beef
27,2021000,Frozen Whole or Half Carcass Beef
28,2022000,Frozen Bone-in Beef
29,2023000,Frozen Boneless Beef
30,2061000,Fresh or Chilled Beef Offal
31,2062100,Frozen Beef Tongue
32,2062200,Frozen Beef Liver
33,2062900,Other Frozen Beef Offal
34,2102000,"Dried, Smoked, or Salted Beef"
35,16025010,Beef Meat and Offal – Heads
36,16025090,"Other Processed or Preserved Beef Meat, Offal, Miscellaneous Cuts, and Blood"
37,3011100,Freshwater Ornamental Live Fish
38,3011900,Other Ornamental Live Fish
39,3019100,Eel Fry
40,3019190,Live Eel
41,3019210,Eel Fry
42,3019290,Live Eel
43,3019310,Carp Fry
44,3019390,Live Carp
45,3019410,Western and Pacific Bluefin Tuna Fry
46,3019491,Live Western Bluefin Tuna
47,3019492,Live Pacific Bluefin Tuna
48,3019510,Southern Bluefin Tuna Fry
49,3019590,Live Southern Bluefin Tuna
50,3019911,Salmon Fry
51,3019912,Trout Fry
52,3019919,Other Fish Fry
53,3019991,Live Tilapia
